"              ELEM","                 X","                 Y","                 Z","             SAT_G","             SAT_L","              PRES","           PCAP_GL","             DEN_G","             DEN_L","             VIS_G","             VIS_L"
"                  ","               (M)","               (M)","               (M)","               (-)","               (-)","              (PA)","              (PA)","         (KG/M**3)","         (KG/M**3)","            (PA*S)","            (PA*S)"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.86335785487E+000,  0.13664214513E+000,  0.60928467447E+006,  0.00000000000E+000,  0.10278761678E+001,  0.99944827651E+003,  0.19351666300E-004,  0.11358469524E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99836508605E+000,  0.16349139528E-002,  0.60928467445E+006,  0.00000000000E+000,  0.10278761678E+001,  0.99944827651E+003,  0.19351666300E-004,  0.11358469524E-002
"TIME [sec]  0.29777000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.86211678591E+000,  0.13788321409E+000,  0.60986315484E+006,  0.00000000000E+000,  0.10288426034E+001,  0.99944854390E+003,  0.19351668199E-004,  0.11358468365E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99834931177E+000,  0.16506882297E-002,  0.60986315482E+006,  0.00000000000E+000,  0.10288426034E+001,  0.99944854390E+003,  0.19351668199E-004,  0.11358468365E-002
"TIME [sec]  0.29784000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.86094670323E+000,  0.13905329677E+000,  0.61040956160E+006,  0.00000000000E+000,  0.10297554554E+001,  0.99944879647E+003,  0.19351669993E-004,  0.11358467270E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99833442575E+000,  0.16655742480E-002,  0.61040956159E+006,  0.00000000000E+000,  0.10297554554E+001,  0.99944879647E+003,  0.19351669993E-004,  0.11358467270E-002
"TIME [sec]  0.29790000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.86012237931E+000,  0.13987762069E+000,  0.61079509814E+006,  0.00000000000E+000,  0.10303995503E+001,  0.99944897467E+003,  0.19351671259E-004,  0.11358466498E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99832393095E+000,  0.16760690509E-002,  0.61079509812E+006,  0.00000000000E+000,  0.10303995503E+001,  0.99944897467E+003,  0.19351671259E-004,  0.11358466498E-002
"TIME [sec]  0.29796000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.85929805842E+000,  0.14070194158E+000,  0.61118112321E+006,  0.00000000000E+000,  0.10310444613E+001,  0.99944915310E+003,  0.19351672526E-004,  0.11358465725E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99831342968E+000,  0.16865703245E-002,  0.61118112320E+006,  0.00000000000E+000,  0.10310444613E+001,  0.99944915310E+003,  0.19351672526E-004,  0.11358465725E-002
"TIME [sec]  0.29803000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.85833635473E+000,  0.14166364527E+000,  0.61163210452E+006,  0.00000000000E+000,  0.10317978912E+001,  0.99944936156E+003,  0.19351674007E-004,  0.11358464821E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99830116954E+000,  0.16988304564E-002,  0.61163210451E+006,  0.00000000000E+000,  0.10317978912E+001,  0.99944936156E+003,  0.19351674007E-004,  0.11358464821E-002
"TIME [sec]  0.29809000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.85751204040E+000,  0.14248795960E+000,  0.61201919129E+006,  0.00000000000E+000,  0.10324445760E+001,  0.99944954048E+003,  0.19351675277E-004,  0.11358464045E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99829065422E+000,  0.17093457778E-002,  0.61201919127E+006,  0.00000000000E+000,  0.10324445759E+001,  0.99944954048E+003,  0.19351675277E-004,  0.11358464045E-002
"TIME [sec]  0.29816000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.85655034524E+000,  0.14344965476E+000,  0.61247141389E+006,  0.00000000000E+000,  0.10332000796E+001,  0.99944974951E+003,  0.19351676762E-004,  0.11358463139E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99827837562E+000,  0.17216243793E-002,  0.61247141388E+006,  0.00000000000E+000,  0.10332000796E+001,  0.99944974951E+003,  0.19351676762E-004,  0.11358463139E-002
"TIME [sec]  0.29822000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.85572603835E+000,  0.14427396165E+000,  0.61285956683E+006,  0.00000000000E+000,  0.10338485455E+001,  0.99944992892E+003,  0.19351678036E-004,  0.11358462362E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99826784415E+000,  0.17321558466E-002,  0.61285956682E+006,  0.00000000000E+000,  0.10338485455E+001,  0.99944992892E+003,  0.19351678036E-004,  0.11358462362E-002
"TIME [sec]  0.29829000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.85476435001E+000,  0.14523564999E+000,  0.61331303566E+006,  0.00000000000E+000,  0.10346061312E+001,  0.99945013852E+003,  0.19351679525E-004,  0.11358461453E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99825555115E+000,  0.17444488476E-002,  0.61331303564E+006,  0.00000000000E+000,  0.10346061312E+001,  0.99945013852E+003,  0.19351679525E-004,  0.11358461453E-002
"TIME [sec]  0.29835000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.85394004885E+000,  0.14605995115E+000,  0.61370225899E+006,  0.00000000000E+000,  0.10352563854E+001,  0.99945031843E+003,  0.19351680803E-004,  0.11358460673E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99824500762E+000,  0.17549923784E-002,  0.61370225897E+006,  0.00000000000E+000,  0.10352563854E+001,  0.99945031843E+003,  0.19351680803E-004,  0.11358460673E-002
"TIME [sec]  0.29842000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.85297836822E+000,  0.14702163178E+000,  0.61415697930E+006,  0.00000000000E+000,  0.10360160618E+001,  0.99945052861E+003,  0.19351682295E-004,  0.11358459762E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99823269812E+000,  0.17673018807E-002,  0.61415697928E+006,  0.00000000000E+000,  0.10360160618E+001,  0.99945052861E+003,  0.19351682295E-004,  0.11358459762E-002
"TIME [sec]  0.29848000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.85215403842E+000,  0.14784596158E+000,  0.61454729425E+006,  0.00000000000E+000,  0.10366681397E+001,  0.99945070902E+003,  0.19351683577E-004,  0.11358458980E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99822213997E+000,  0.17778600254E-002,  0.61454729424E+006,  0.00000000000E+000,  0.10366681397E+001,  0.99945070902E+003,  0.19351683577E-004,  0.11358458980E-002
"TIME [sec]  0.29855000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.85119231161E+000,  0.14880768839E+000,  0.61500329683E+006,  0.00000000000E+000,  0.10374299584E+001,  0.99945091980E+003,  0.19351685074E-004,  0.11358458067E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99820981324E+000,  0.17901867650E-002,  0.61500329682E+006,  0.00000000000E+000,  0.10374299583E+001,  0.99945091980E+003,  0.19351685074E-004,  0.11358458067E-002
"TIME [sec]  0.29861000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.85036797751E+000,  0.14963202249E+000,  0.61539469646E+006,  0.00000000000E+000,  0.10380838484E+001,  0.99945110071E+003,  0.19351686359E-004,  0.11358457283E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99819924075E+000,  0.18007592515E-002,  0.61539469645E+006,  0.00000000000E+000,  0.10380838483E+001,  0.99945110071E+003,  0.19351686359E-004,  0.11358457283E-002
"TIME [sec]  0.29868000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.84940626815E+000,  0.15059373185E+000,  0.61585195646E+006,  0.00000000000E+000,  0.10388477677E+001,  0.99945131207E+003,  0.19351687860E-004,  0.11358456367E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99818689754E+000,  0.18131024594E-002,  0.61585195644E+006,  0.00000000000E+000,  0.10388477677E+001,  0.99945131207E+003,  0.19351687860E-004,  0.11358456367E-002
"TIME [sec]  0.29874000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.84858197749E+000,  0.15141802251E+000,  0.61624442253E+006,  0.00000000000E+000,  0.10395034394E+001,  0.99945149347E+003,  0.19351689148E-004,  0.11358455580E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99817631129E+000,  0.18236887138E-002,  0.61624442252E+006,  0.00000000000E+000,  0.10395034393E+001,  0.99945149347E+003,  0.19351689148E-004,  0.11358455580E-002
"TIME [sec]  0.29881000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.84762030914E+000,  0.15237969086E+000,  0.61670293389E+006,  0.00000000000E+000,  0.10402694493E+001,  0.99945170541E+003,  0.19351690653E-004,  0.11358454662E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99816395187E+000,  0.18360481316E-002,  0.61670293388E+006,  0.00000000000E+000,  0.10402694493E+001,  0.99945170541E+003,  0.19351690653E-004,  0.11358454662E-002
"TIME [sec]  0.29887000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.84679602516E+000,  0.15320397484E+000,  0.61709648836E+006,  0.00000000000E+000,  0.10409269393E+001,  0.99945188732E+003,  0.19351691945E-004,  0.11358453873E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99815335134E+000,  0.18466486639E-002,  0.61709648834E+006,  0.00000000000E+000,  0.10409269393E+001,  0.99945188732E+003,  0.19351691945E-004,  0.11358453873E-002
"TIME [sec]  0.29893000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.84597174426E+000,  0.15402825574E+000,  0.61749054668E+006,  0.00000000000E+000,  0.10415852710E+001,  0.99945206946E+003,  0.19351693239E-004,  0.11358453084E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99814274420E+000,  0.18572557990E-002,  0.61749054667E+006,  0.00000000000E+000,  0.10415852710E+001,  0.99945206946E+003,  0.19351693239E-004,  0.11358453084E-002
"TIME [sec]  0.29900000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.84501008732E+000,  0.15498991268E+000,  0.61795091954E+006,  0.00000000000E+000,  0.10423543908E+001,  0.99945228225E+003,  0.19351694750E-004,  0.11358452161E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99813036039E+000,  0.18696396127E-002,  0.61795091953E+006,  0.00000000000E+000,  0.10423543908E+001,  0.99945228225E+003,  0.19351694750E-004,  0.11358452161E-002
"TIME [sec]  0.29906000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.84418581312E+000,  0.15581418688E+000,  0.61834607289E+006,  0.00000000000E+000,  0.10430145520E+001,  0.99945246490E+003,  0.19351696047E-004,  0.11358451370E-002
