TimeElapsed,GAS_INJEC
32425100.0,2.4385770166e-11
32478100.0,2.4440810616e-11
32531000.0,2.4495988396e-11
32584000.0,2.4551534904e-11
32637000.0,2.3623035173e-11
32690000.0,2.4663368636e-11
32742900.0,2.4719559089e-11
32795900.0,2.4776110247e-11
32848900.0,2.4832929886e-11
32901900.0,2.4890005553e-11
32954800.0,-0.0
33007800.0,-0.0
33060800.0,-0.0
33113800.0,-0.0
33125920.0,-0.0
33166700.0,-0.0
33219700.0,-0.0
33272700.0,-0.0
33325700.0,-0.0
33378600.0,-0.0
33431600.0,-0.0
33484600.0,9.971577200400001e-13
33537600.0,9.972969875600002e-13
33590500.0,-0.0
33643500.0,6.9834125813e-12
33696500.0,-0.0
33749500.0,-0.0
33802400.0,-0.0
33855400.0,-0.0
33908400.0,-0.0
33961400.0,-0.0
34014300.0,-0.0
34067300.0,-0.0
34120300.0,-0.0
34173300.0,-0.0
34226200.0,-0.0
34279200.0,-0.0
34325040.0,-0.0
34332200.0,-0.0
34385200.0,-0.0
34438100.0,-0.0
34491100.0,-0.0
34544100.0,-0.0
34597100.0,-0.0
34650000.0,-0.0
34703000.0,-0.0
34756000.0,-0.0
34809000.0,-0.0
34861900.0,-0.0
34914900.0,-0.0
34967900.0,-0.0
35020900.0,9.981109686400002e-13
35073800.0,-0.0
35126800.0,-0.0
35179800.0,-0.0
35232800.0,-0.0
35285700.0,-0.0
35338700.0,-0.0
35391700.0,-0.0
35444700.0,-0.0
35497600.0,1.9964546416e-12
35524120.0,-0.0
35550600.0,-0.0
35603600.0,9.982332144100001e-13
35656600.0,-0.0
35709500.0,-0.0
35762500.0,-0.0
35815500.0,-0.0
35868500.0,-0.0
35921400.0,9.982508827700001e-13
35974400.0,-0.0
36027400.0,1.9965135522e-12
36080400.0,-0.0
36133300.0,-0.0
36186300.0,1.9965312189e-12
36239300.0,1.9965371131e-12
36292300.0,-0.0
36345200.0,-0.0
36398200.0,-0.0
36451200.0,6.9879968424e-12
36504200.0,5.9897723532e-12
36557100.0,5.9898330141e-12
36610100.0,-0.0
36663100.0,6.9882803306e-12
36716100.0,5.9900153476e-12
36723180.0,-0.0
36769000.0,-0.0
36822000.0,-0.0
36875000.0,-0.0
36928000.0,-0.0
36980900.0,5.9903190342e-12
37033900.0,-0.0
37086900.0,3.9936215924e-12
37139800.0,-0.0
37192800.0,-0.0
37245800.0,4.9921368147e-12
37298800.0,3.9937387575e-12
37351700.0,-0.0
37404700.0,-0.0
37457700.0,-0.0
37510700.0,4.9923199118e-12
37563600.0,-0.0
37616600.0,-0.0
37669600.0,3.9939437991e-12
37722600.0,-0.0
37775500.0,1.9969895687e-12
37828500.0,1.9969952119e-12
37881500.0,-0.0
37922300.0,-0.0
37934500.0,-0.0
37987400.0,-0.0
38040400.0,-0.0
38093400.0,-0.0
38146400.0,-0.0
38199300.0,-0.0
38252300.0,-0.0
38305300.0,-0.0
38358300.0,-0.0
38411200.0,-0.0
38464200.0,-0.0
38517200.0,-0.0
38570200.0,-0.0
38623100.0,-0.0
38676100.0,-0.0
