,UTC,net flow cor [kg/s],CO2 rate [kg/s],zone P [MPa],TimeElapsed
92,2023-05-07 16:59:21.784000+00:00,0.02160235,0.0,5.824918,31161.784
93,2023-05-07 16:59:22.784000+00:00,0.02049455,0.0,5.8840174,31162.784
94,2023-05-07 16:59:23.784000+00:00,0.01893725,0.0,5.9063995,31163.784
95,2023-05-07 16:59:24.784000+00:00,0.0168982666666666,0.0,5.9232696,31164.784
96,2023-05-07 16:59:25.784000+00:00,0.0155358333333333,0.0,5.9408188,31165.784
97,2023-05-07 16:59:26.784000+00:00,0.0134091166666666,0.0,5.9529343,31166.784
98,2023-05-07 16:59:27.784000+00:00,0.0097285666666666,0.0,5.9681289,31167.784
99,2023-05-07 16:59:31.784000+00:00,0.00614755,0.0,6.0070898,31171.784
100,2023-05-07 16:59:32.784000+00:00,0.0061028333333333,0.0,6.0158406,31172.784
101,2023-05-07 16:59:33.784000+00:00,0.0045505833333333,0.0,6.0268032,31173.784
102,2023-05-07 16:59:34.784000+00:00,0.0,0.0,6.0394867,31174.784
103,2023-05-07 17:12:24.815000+00:00,0.0,0.0,1.9074954,31944.815
104,2023-05-07 17:12:25.815000+00:00,0.00454175,0.0,1.984865,31945.815
105,2023-05-07 17:12:26.815000+00:00,0.0107283833333333,0.0,2.1020286,31946.815
106,2023-05-07 17:12:27.815000+00:00,0.0222127166666666,0.0,2.291297,31947.815
107,2023-05-07 17:12:28.815000+00:00,0.0258918,0.0,2.638438,31948.815
108,2023-05-07 17:12:29.815000+00:00,0.0249838666666666,0.0,3.0735043,31949.815
109,2023-05-07 17:12:30.815000+00:00,0.00756125,0.0,3.2496097,31950.815
110,2023-05-07 17:12:31.815000+00:00,0.00756045,0.0,3.4150745,31951.815
111,2023-05-07 17:12:32.815000+00:00,0.0228713333333333,0.0,3.6741248,31952.815
112,2023-05-07 17:12:33.815000+00:00,0.0338163,0.0,4.3088054,31953.815
113,2023-05-07 17:12:34.815000+00:00,0.0288714,0.0,5.164613,31954.815
114,2023-05-07 17:12:35.815000+00:00,0.0134675333333333,0.0,5.2737718,31955.815
115,2023-05-07 17:12:36.815000+00:00,0.0089788833333333,0.0,5.294569,31956.815
116,2023-05-07 17:12:41.815000+00:00,0.0045469666666666,0.0,5.319385,31961.815
117,2023-05-07 17:12:42.815000+00:00,0.0045454666666666,0.0,5.3217499,31962.815
118,2023-05-07 17:12:43.815000+00:00,0.0045460333333333,0.0,5.3261394,31963.815
119,2023-05-07 17:12:44.815000+00:00,0.0,0.0,5.3295076,31964.815
120,2023-05-07 18:20:00+00:00,0.0,0.0,0.9592657,36000.0
121,2023-05-07 20:00:00+00:00,0.0,0.0,0.8277635,42000.0
122,2023-05-07 21:40:00+00:00,0.0,0.0,0.7949936,48000.0
123,2023-05-07 23:20:00+00:00,0.0,0.0,0.7786438,54000.0
124,2023-05-08 01:00:00+00:00,0.0,0.0,0.764592,60000.0
125,2023-05-08 02:40:00+00:00,0.0,0.0,0.7544819,66000.0
126,2023-05-08 04:20:00+00:00,0.0,0.0,0.7426294,72000.0
127,2023-05-08 06:00:00+00:00,0.0,0.0,0.7420546,78000.0
128,2023-05-08 07:40:00+00:00,0.0,0.0,0.7403485,84000.0
129,2023-05-08 09:20:00+00:00,0.0,0.0,0.7367389,90000.0
130,2023-05-08 10:41:18.561000+00:00,0.0,0.0,0.4268401,94878.561
131,2023-05-08 10:41:19.561000+00:00,0.0,0.0,0.4273764,94879.561
132,2023-05-08 10:41:20.561000+00:00,0.0,0.0,0.4079062,94880.561
133,2023-05-08 10:41:21.561000+00:00,0.0183019,0.0,0.4154428,94881.561
134,2023-05-08 10:41:52.561000+00:00,0.0184336666666666,0.0,2.2508945,94912.561
135,2023-05-08 10:41:53.561000+00:00,0.0183216666666666,0.0,2.3747961,94913.561
