UTC,downhole pressure [kPa],CO2 partial pressure [kPa],pH
05/08/2023 09:35:09.230,310.67,2.32244777686997,7.142
05/08/2023 10:02:26.270,310.28,2.28932826565499,7.142
05/08/2023 10:29:43.560,309.51,2.26845322334612,7.1423
05/08/2023 10:47:35.270,310.86,1.71170470687478,7.1422
05/08/2023 11:14:53.230,310.38,1.4207086832259,7.1421
05/08/2023 11:42:12.760,2300.53,2.8167133180085,6.6915
05/08/2023 12:00:40.880,2250.13,3.80054040170816,6.6586
05/08/2023 12:28:02.140,2292.91,5.27614226326868,6.6332
05/08/2023 12:55:22.060,2262.75,6.35315746357976,6.6106
05/08/2023 13:13:51.710,2290.51,6.35413925926151,6.5967
05/08/2023 13:41:11.520,2239.24,6.89674252823567,6.596
05/08/2023 14:08:30.770,2167.54,5.37112948132216,6.6086
05/08/2023 14:26:24.910,2622.12,6.511394705897,6.6174
05/08/2023 14:53:44.550,2758.39,4.26555955705182,6.6459
05/08/2023 15:21:05.040,1881.6,2.86961067452629,6.6768
05/08/2023 15:39:33.990,1385.3,2.1716742537582,6.6935
05/08/2023 16:06:56.810,751.66,1.85086312476946,6.7096
05/08/2023 16:34:19.660,527.98,2.08360611117093,6.7178
05/08/2023 16:52:49.680,444.72,2.86550929950234,6.721
05/08/2023 17:20:11.940,364.15,2.81327750334175,6.7245
05/08/2023 17:47:33.770,362.9,3.31003898702933,6.7271
05/08/2023 18:05:29.900,353.74,2.65079988875837,6.7283
05/08/2023 18:32:51.940,316.26,3.1940288125622,6.7302
05/08/2023 19:00:16.330,301.99,3.18059855865817,6.732
05/08/2023 19:18:48.690,351.91,3.20028553076446,6.733
05/08/2023 19:46:11.850,319.44,2.99872881170946,6.7358
05/08/2023 20:13:35.000,283.2,2.36233016220899,6.7385
05/08/2023 20:32:07.080,303.15,3.03164565839834,6.7398
05/08/2023 20:59:30.210,262.29,2.9318799667177,6.7422
05/08/2023 21:26:54.340,221.81,2.6860630077952,6.7442
05/08/2023 21:44:52.530,203.98,3.09491172492636,6.7459
05/08/2023 22:12:16.740,200.42,3.52662354780409,6.7478
05/08/2023 22:39:41.240,185.48,2.99417593097792,6.7491
05/08/2023 22:58:15.060,179.7,3.29378085496467,6.7504
05/08/2023 23:25:39.840,172.47,2.955175591405,6.7518
05/08/2023 23:53:04.840,165.82,3.21612436543372,6.7532
05/09/2023 00:11:39.550,160.71,3.06626090026717,6.7541
05/09/2023 00:39:05.070,154.93,3.00171787090569,6.7553
05/09/2023 01:06:30.960,148.47,3.02461264371819,6.7563
05/09/2023 01:24:31.120,145.49,2.95219960813675,6.7569
05/09/2023 01:51:57.700,140.38,3.01155192884926,6.7578
05/09/2023 02:19:24.330,135.66,2.95026941557231,6.7589
05/09/2023 02:38:00.490,132.86,2.85597753539234,6.7593
05/09/2023 03:05:27.320,128.53,3.52037539661141,6.76
05/09/2023 03:32:54.980,125.15,2.82942550778492,6.7606
05/09/2023 03:51:31.260,122.07,2.82707934385477,6.761
05/09/2023 04:18:59.350,119.27,2.72444678973123,6.7619
05/09/2023 04:46:27.200,115.8,2.83460870641025,6.7623
05/09/2023 05:04:29.470,114.07,2.9781048920966,6.7628
05/09/2023 05:31:58.020,111.95,2.85975012921983,6.7632
05/09/2023 05:59:26.490,108.19,3.06177776406047,6.7637
05/09/2023 06:18:04.230,107.04,2.81804086646764,6.7642
05/09/2023 06:45:33.310,104.91,3.05309417124962,6.7652
05/09/2023 07:13:02.890,102.79,3.70655259761668,6.7656
05/09/2023 07:31:42.210,101.54,4.52701058571467,6.7658
05/09/2023 07:59:12.050,99.23,3.18275984798406,6.7665
05/09/2023 08:26:42.440,97.49,3.34003779583797,6.7668
05/09/2023 08:44:46.800,97.11,3.22696391693517,6.768
05/09/2023 09:12:17.300,94.6,4.33748310513115,6.7682
05/09/2023 09:39:48.910,93.45,3.49939534161177,6.769
05/09/2023 09:58:28.750,92.48,3.35421129756645,6.7697
05/09/2023 10:26:00.040,91.42,4.34271627034247,6.7704
05/09/2023 10:53:31.590,90.27,3.67859222733055,6.771
05/09/2023 11:12:12.420,89.3,4.52464163053077,6.7716
05/09/2023 11:39:45.370,87.95,4.18932360713742,6.7723
05/09/2023 12:07:17.530,87.09,3.78908565017644,6.773
05/09/2023 12:25:23.980,2630.5,8.26929196189172,5.7533
05/09/2023 12:52:56.460,2224.11,44.4238228055008,5.7036
05/09/2023 13:20:29.200,492.71,68.4667182978905,5.6994
05/09/2023 13:39:11.170,535.11,76.3659656412386,5.7012
05/09/2023 14:06:44.840,862.87,82.3767308440862,5.7019
05/09/2023 14:34:18.290,636.21,84.8857249092948,5.7037
05/09/2023 14:53:02.040,1012.05,85.6809731922254,5.7025
05/09/2023 15:20:36.110,1502.39,86.4496004876727,5.687
05/09/2023 15:48:10.710,2218.32,87.1116186754385,5.6497
05/09/2023 16:06:19.250,2296.1,87.3012542511877,5.6261
05/09/2023 16:33:56.880,2288.96,87.9469237964513,5.5932
05/09/2023 17:01:35.820,2175.15,89.0413001900658,5.5746
05/09/2023 17:20:21.100,2220.64,89.2699290515096,5.5631
05/09/2023 17:47:56.900,1188.7,89.0882022634267,5.5604
05/09/2023 18:15:32.570,778.06,88.7618731110625,5.5656
05/09/2023 18:34:18.020,653.84,88.5342786487084,5.5688
05/09/2023 19:01:55.290,538.2,88.1958525538681,5.573
05/09/2023 19:29:31.570,523.26,88.0491979016017,5.5788
05/09/2023 19:47:42.100,516.61,88.026826444281,5.5835
05/09/2023 20:13:29.590,492.23,88.3410183660653,5.5901
05/09/2023 20:41:04.790,479.12,87.7078934229469,5.5964
05/09/2023 21:08:39.640,468.62,87.9696142669947,5.6023
05/09/2023 21:36:14.110,458.79,88.0639848141269,5.6104
05/09/2023 22:03:49.690,449.54,88.1389023535661,5.6193
05/09/2023 22:31:24.860,441.15,88.1633737908443,5.6261
05/09/2023 22:59:00.230,433.64,87.9256833006965,5.632
05/09/2023 23:26:36.690,426.21,88.2952867641447,5.6386
05/09/2023 23:54:12.680,419.18,88.1999526530954,5.6446
05/10/2023 00:21:49.220,411.95,88.2422303098343,5.6529
05/10/2023 00:49:25.710,404.92,88.2194372938495,5.6593
