Time (days),TimeElapsed,Gas Pressure (MPa),Water Injection Rate (kg/s)
228.73140046296612,19762393.000000272,4.006112665792,5.270483103838397e-10
228.91578703704,19778324.000000253,4.00198184647,1.4417796748491058e-09
229.09935185185168,19794183.999999985,4.00198184647,1.593044766735524e-09
229.2840856481489,19810145.000000067,4.00198184647,1.4950391579397086e-09
229.46973379629344,19826184.999999754,4.00198184647,2.973281920257173e-09
229.65457175925985,19842155.000000052,4.00198184647,2.818563807086789e-09
229.83791666666366,19857995.99999974,4.00198184647,4.032636828530407e-11
230.02275462963007,19873966.000000037,4.00198184647,1.338351659336852e-09
230.20853009259008,19890016.999999784,4.00198184647,4.769584449647438e-10
230.39383101851854,19906027.0,4.006112665792,1.5960903185281934e-09
230.577407407407,19921887.999999966,4.006112665792,2.477927495118154e-09
230.76143518518802,19937788.000000246,4.00198184647,1.6913454087754672e-09
230.9466319444473,19953789.000000246,4.006112665792,1.1025070933071897e-09
231.13309027777723,19969898.99999995,4.00198184647,2.376058348901928e-10
231.31723379629693,19985809.000000056,4.00198184647,3.6432881206535385e-09
231.50127314814745,20001709.99999994,4.006112665792,9.509581787386773e-10
231.68726851851534,20017779.999999724,4.00198184647,1.1275713752493568e-09
231.87200231481256,20033740.999999806,4.00198184647,7.774581793067002e-10
232.05869212962716,20049870.999999788,4.00198184647,4.5291828890245474e-10
232.24226851851563,20065731.99999975,4.00198184647,9.456818611815044e-11
232.42710648148204,20081702.00000005,4.00198184647,2.211310206596121e-09
232.61276620370336,20097742.99999997,4.00198184647,1.7540561062374814e-09
232.7981828703705,20113763.00000001,4.00198184647,1.7224453183454682e-09
232.9824421296289,20129682.999999937,4.00198184647,1.3506434673443366e-09
233.16694444444147,20145623.999999743,4.00198184647,1.7490301737863715e-09
233.35131944444583,20161554.00000012,4.00198184647,8.030317639492532e-10
233.5366319444438,20177564.999999944,4.00198184647,1.8649107488800518e-09
233.7206597222248,20193465.000000224,4.006112665792,1.5228562263872165e-09
233.90527777777606,20209415.99999985,4.006112665792,3.167912983586625e-09
234.0908101851819,20225445.999999717,4.007489605566,4.5768920773974055e-10
234.27519675925578,20241376.9999997,4.00198184647,1.4018705668142075e-10
234.46096064814628,20257426.99999984,4.00198184647,1.7352089719489786e-09
234.64684027777548,20273486.999999803,4.006112665792,2.3161176836900805e-09
234.83192129629606,20289477.999999978,4.006112665792,1.8612667125059608e-09
235.0165277777778,20305428.000000004,4.006112665792,8.760084012521924e-10
235.20114583333634,20321379.00000026,4.00198184647,1.2379646416955556e-09
235.38598379629548,20337348.99999993,4.00198184647,1.5981352536365602e-10
235.57199074074015,20353419.999999948,4.00198184647,1.6475589571252032e-09
235.75787037036935,20369479.99999991,4.00198184647,1.2515491905461143e-10
235.94179398148117,20385370.999999974,4.00198184647,2.573589956568566e-09
236.12674768518627,20401351.000000093,4.006112665792,2.275775969947281e-10
236.31146990740672,20417310.99999994,4.00198184647,2.2126957393703576e-09
236.4965509259273,20433302.00000012,4.00198184647,1.5899971233642284e-09
236.6824305555565,20449362.000000082,4.006112665792,2.7312336239165123e-09
236.86785879629315,20465382.999999728,4.006112665792,8.263504150981439e-10
237.05304398148292,20481383.000000123,4.006112665792,2.502299249937736e-09
237.23754629629548,20497323.99999993,4.00886654534,8.387014616499481e-09
237.42203703703854,20513264.00000013,4.014374304435999,8.383564742679182e-09
237.60641203703562,20529193.999999877,4.017128183984,8.38478581306666e-09
237.7913773148175,20545175.00000023,4.021259003306,8.380059945999868e-09
237.97702546296205,20561214.99999992,4.025389822627999,8.382977930336413e-09
238.16106481481256,20577115.999999806,4.02952064195,8.384071442108869e-09
238.34601851851767,20593095.999999925,4.033651461272,8.378506883540373e-09
238.53052083333023,20609036.99999973,4.03640534082,8.389034063210754e-09
238.7158217592587,20625046.99999995,4.040536160142,8.382788756911462e-09
238.90193287037255,20641127.000000186,4.0460439192379996,8.381956965051283e-09
239.08828703704057,20657228.000000305,4.05017473856,8.37702279355294e-09
239.2732407407384,20673207.9999998,4.0543055578819995,8.390531039065482e-09
239.45843749999767,20689208.9999998,4.0570594374299995,8.387503781013374e-09
239.64339120370278,20705188.999999918,4.0625671965259995,8.378506883542979e-09
239.82916666667006,20721240.000000294,4.0653210760739995,8.381244159045738e-09
240.0157407407387,20737359.99999982,4.069451895395999,8.38293808957456e-09
240.20173611111386,20753430.00000024,4.0735827147179995,8.385232233760437e-09
240.38693287037313,20769431.00000024,4.07771353404,8.383480032496388e-09
240.5722337962943,20785440.99999983,4.083221293135999,8.38077801395584e-09
240.75615740740614,20801331.99999989,4.085975172684,8.379345038040866e-09
240.9398379629638,20817202.00000007,4.088729052232,8.388341146720855e-09
241.123993055553,20833112.99999978,4.094236811328,8.386831877472381e-09
241.30917824074277,20849113.000000175,4.09836763065,8.379979999792066e-09
241.4956365740727,20865222.99999988,4.103875389745999,8.382271756825881e-09
241.67944444444583,20881104.00000012,4.105252329520001,8.388548831812614e-09
241.86370370370423,20897024.000000045,4.110760088616,8.38006846737516e-09
242.04855324074015,20912994.999999948,4.116267847712001,8.381275687233666e-09
242.23443287036935,20929054.99999991,4.120398667034,8.384502615213582e-09
242.41870370370452,20944976.00000007,4.121775606808,8.379542114104626e-09
242.60377314814832,20960966.000000015,4.128660305677999,8.387234021291251e-09
242.78792824073753,20976876.999999724,4.131414185226,8.382785368767234e-09
242.97346064815065,20992907.000000216,4.136921944322,8.384253773916427e-09
243.15853009259445,21008897.00000016,4.141052763644001,8.383270419039774e-09
243.34361111110775,21024887.99999971,4.143806643192001,8.382809080344534e-09
243.52925925925956,21040928.000000026,4.147937462514,8.382977930009326e-09
243.71341435184877,21056838.99999973,4.150691342062,8.380762114416187e-09
243.89836805555387,21072818.999999855,4.157576040932,8.37856983723088e-09
244.0832175925898,21088789.999999758,4.163083800028,8.39525928250132e-09
244.26770833333285,21104729.99999996,4.16721461935,8.379525595877458e-09
244.45325231481547,21120761.000000056,4.169968498898,8.381785415707104e-09
244.63878472222132,21136790.99999992,4.17409931822,8.382245539682919e-09
244.82396990741108,21152791.000000317,4.179607077316,8.38601599979382e-09
245.00986111110979,21168851.999999885,4.182360956864001,8.379971857519381e-09
245.19435185185284,21184792.000000086,4.186491776186,8.38154516927832e-09
245.37931712962745,21200772.999999814,4.191999535282,8.3860401728487e-09
245.56415509259386,21216743.00000011,4.1961303546040005,8.387784846431333e-09
245.74865740740643,21232683.999999914,4.200261173925999,8.378999937372465e-09
245.9347685185203,21248764.000000153,4.2043919932480005,8.380017537189248e-09
246.11949074074073,21264724.0,4.2098997523440005,8.38705225571918e-09
246.3054976851854,21280795.00000002,4.214030571666,8.382707361075768e-09
246.4905671296292,21296784.999999963,4.219538330761999,8.385283677326845e-09
246.67530092592642,21312746.000000045,4.225046089858,8.382492951527564e-09
246.85990740740817,21328696.000000067,4.2291769091799996,8.388337053279542e-09
247.0454513888908,21344727.000000164,4.23606160805,8.37576108784048e-09
247.23167824074335,21360817.000000224,4.241569367146,8.386688750746387e-09
247.41616898147913,21376756.9999998,4.2457001864679995,8.377506022808131e-09
247.6012499999997,21392747.999999974,4.252584885338,8.386772434401571e-09
247.78608796296612,21408718.000000272,4.255338764886,8.383816280369985e-09
247.97140046296408,21424729.000000097,4.260846523982001,8.384212978669756e-09
248.15600694444583,21440679.00000012,4.267731222852,8.382282131648419e-09
248.34178240740584,21456729.999999866,4.271862042174001,8.375290013216307e-09
248.5263888888876,21472679.99999989,4.277369801270001,8.386318746068878e-09
