"              ELEM","                 X","                 Y","                 Z","              ROCK","            KABS_1","            KABS_2","            KABS_3","              PRES","             SAT_G","             SAT_L"
"                  ","               (M)","               (M)","               (M)","                  ","            (M**2)","            (M**2)","            (M**2)","              (PA)","               (-)","               (-)"
"TIME [sec]  0.17676752E+08"
"             A1144",  0.92249000000E-002, -0.21047000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050355683E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1145",  0.92249000000E-002,  0.21047700000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050361266E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1146", -0.21737000000E-001, -0.76810000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050323976E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1147", -0.21737000000E-001,  0.76812000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050325900E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1148", -0.22931000000E-001,  0.25590000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050323760E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1149", -0.22931000000E-001, -0.25590000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050323127E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1150",  0.20531200000E-001, -0.10491000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050376069E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1151",  0.20531200000E-001,  0.10491700000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050379118E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1152", -0.11638000000E-001, -0.19938000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050331096E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1153", -0.11638000000E-001,  0.19938600000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050336464E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1154", -0.22862000000E-001, -0.12855000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050331860E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1155", -0.22862000000E-001,  0.12855700000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050334833E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1156",  0.63414000000E-002,  0.25404700000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050366703E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1157",  0.63414000000E-002, -0.25404000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050360613E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1158",  0.17617100000E-001,  0.14848100000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050372870E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1159",  0.17617100000E-001, -0.14848000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050368776E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1160",  0.14149100000E-001, -0.22060000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050369761E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1161",  0.14149100000E-001,  0.22060900000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050375069E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1162", -0.25737000000E-001,  0.49837000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050333212E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1163", -0.25737000000E-001, -0.49830000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050332073E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1164", -0.17189000000E-001,  0.18449700000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050337646E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1165", -0.17189000000E-001, -0.18449000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050332967E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1166",  0.21384500000E-001,  0.15164900000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050385311E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1167",  0.21384500000E-001, -0.15164000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050381497E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1168", -0.34600000000E-002, -0.22067000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050332433E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1169", -0.34600000000E-002,  0.22067300000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050338441E+007,  0.00000000000E+000,  0.10000000000E+001
