t_utc,P at 29m [bar],P at 31m [bar],P at 34.9m [bar],P at 42.2m [bar],T at 29m [C],T at 31m [C],T at 34.9m [C],T at 42.2m [C]
2023-05-08 19:35:00+00:00,1.3372491366666666,2.3942888066666668,2.82093309,3.586963036666667,16.95099005,17.105385026666667,17.139476979999998,17.313944199999998
2023-05-08 19:40:00+00:00,1.33687311,2.39576725,2.82127863,3.5854606833333333,16.949151096666668,17.104244519999998,17.13736728,17.313230729999997
2023-05-08 19:45:00+00:00,1.3365516100000001,2.3965876266666664,2.821577656666667,3.5840822699999997,16.947829023333334,17.10159875,17.136174903333334,17.31224424
2023-05-08 19:50:00+00:00,1.336174575250836,2.3962274581939798,2.8217900969899667,3.582775264214047,-4.267755437971635e+35,17.099332501672244,17.13483404013378,17.310663274247492
2023-05-08 19:55:00+00:00,1.3358344433333333,2.396606053333333,2.8220406099999997,3.5815308433333333,16.94312498,17.098917586666666,17.13284659,17.310222433333333
2023-05-08 20:00:00+00:00,1.3355327866666666,2.39770806,2.82235024,3.580403556666667,16.941560926666668,17.096968613333335,17.13131630333333,17.309335426666667
2023-05-08 20:05:00+00:00,1.3352156166666667,2.3973840066666665,2.8226163133333335,3.5793357366666667,16.940099386666667,17.095297940000002,17.129550226666666,17.30811518
2023-05-08 20:10:00+00:00,1.3348950066666667,2.39849214,2.8228807333333337,3.5782952066666667,16.93846227666667,17.093097906666667,17.127772086666667,16.96092646
2023-05-08 20:15:00+00:00,1.3346047766666667,2.3988350433333334,2.8231662533333335,3.57730741,16.937151900000003,17.091817033333335,17.126300066666666,17.306199306666667
2023-05-08 20:20:00+00:00,1.3343309666666665,2.39981553,2.82338664,3.5764250399999997,16.93607223,17.09032214666667,17.12483487,17.305177286666666
2023-05-08 20:25:00+00:00,1.33405084,2.4008494366666664,2.8236546566666667,3.5755485266666667,16.93475738,17.089007913333333,17.12424602,17.304034206666667
2023-05-08 20:30:00+00:00,1.3337481833333333,2.402005576666667,2.8239355066666665,3.574764023333333,16.933002683333335,17.087480006666667,17.124009816666668,17.30374954
2023-05-08 20:35:00+00:00,1.3334630733333335,2.4029570833333334,2.82417812,3.5739909033333332,16.932253196666668,17.08573958,17.122909883333335,17.302873806666668
2023-05-08 20:40:00+00:00,1.3332173422818792,2.40387144295302,2.824352855704698,3.5732810906040267,16.931441761744964,17.08427712080537,17.12268525167785,17.30181196979866
2023-05-08 20:45:00+00:00,1.33295306,2.4037380933333337,2.8245245199999998,3.572619796666667,16.930036883333337,17.08248193,17.12136526666667,17.301670633333334
2023-05-08 20:50:00+00:00,1.3326871566666667,2.40505824,2.8246156800000004,3.5719599833333335,16.927881406666668,17.082337810000002,17.11999624,17.300503276666664
2023-05-08 20:55:00+00:00,1.3324393300000001,2.4063533533333334,2.82474243,3.5713374399999998,16.92673196,17.08099452,17.11884025,17.30013153333333
2023-05-08 21:00:00+00:00,1.3321471933333333,2.40736608,2.824931126666667,3.5707428833333332,16.925460036666667,16.96573597,17.11717731,17.298813986666666
2023-05-08 21:05:00+00:00,1.3318970833333332,2.4083952566666667,2.8251153833333333,3.57021106,16.92387237,17.078215880000002,17.11602318,17.298150563333333
2023-05-08 21:10:00+00:00,1.3316693233333332,2.4087943,2.8252756433333337,3.5696968533333333,16.923228246666667,17.07755815,17.1154275,17.297264166666665
2023-05-08 21:15:00+00:00,1.33145784,2.4094047733333332,2.8253942066666666,3.5691714733333333,16.92191385,17.07668945,17.11438506,17.29628846
2023-05-08 21:20:00+00:00,1.3312453100000001,2.4109554600000003,2.8255461833333335,3.5686896133333335,16.920953533333336,17.074592159999998,17.11329298,17.295551389999996
2023-05-08 21:25:00+00:00,1.33101343,2.41210856,2.82574631,3.56823426,16.919538,17.07322706,17.11146871,17.294715039999996
2023-05-08 21:30:00+00:00,1.3308031633333333,2.4131956933333334,2.82586827,3.5678255266666663,16.918035966666665,17.072172209999998,17.11031458,17.294444256666665
2023-05-08 21:35:00+00:00,1.3305978033333334,2.4142403333333333,2.82601546,3.5674130466666663,16.916706033333334,17.071588939999998,17.10960721,17.293628253333335
2023-05-08 21:40:00+00:00,1.3303671733333333,2.4153157199999997,2.8261650033333336,3.5670052133333336,16.915934933333336,17.07037276,17.108862610000003,17.29230384
2023-05-08 21:45:00+00:00,1.33015407,2.41635367,2.8263231166666665,3.5666118933333335,16.91416779,17.0695537,17.107112800000003,17.29191567333333
2023-05-08 21:50:00+00:00,1.3299524133333334,2.4173761666666667,2.826447423333333,3.566316336666666,16.913103160000002,17.068585719999998,17.105993663333336,17.29131348
2023-05-08 21:55:00+00:00,1.3297531466666668,2.4178928566666666,2.8265485233333334,3.5659956533333337,16.911482526666667,17.067344719999998,17.105159753333336,17.291006279999998
2023-05-08 22:00:00+00:00,1.32955865,2.4190554033333336,2.8266741966666666,3.56571339,16.91114888,17.066041669999997,17.104412306666667,17.289782773333332
2023-05-08 22:05:00+00:00,1.3293933433333331,2.4200466633333333,2.826882643333333,3.5653995700000003,16.91045025333333,17.065508039999997,17.10305189,17.289274980000002
2023-05-08 22:10:00+00:00,1.3291988300000002,2.42130711,2.8270422066666665,3.5651045666666663,16.909754676666665,17.063969200000003,17.10211195666667,17.28862661
2023-05-08 22:15:00+00:00,1.3290112066666666,2.4218570066666665,2.8271229,3.564821383333333,16.90838164,16.94961538,17.10074532666667,17.288053716666667
2023-05-08 22:20:00+00:00,1.3288457357859533,2.4227867090301003,2.827245481605351,3.5645313678929766,16.907468989966553,16.947334698996656,17.10029291638796,17.287569839464883
2023-05-08 22:25:00+00:00,1.32863178,2.4246495766666665,2.82739347,3.56422012,16.84869081,17.059898110000002,17.099192079999998,17.28670897
2023-05-08 22:30:00+00:00,1.32847808,2.4262057533333334,2.82756646,3.5639916700000005,-1.361129467683752e+37,17.05920087666667,17.097715306666665,17.285737330000003
2023-05-08 22:35:00+00:00,1.3282828933333333,2.427849023333333,2.8276856033333333,3.5637765066666662,16.564781383333333,17.056972963333333,17.097080026666667,17.284646453333334
2023-05-08 22:40:00+00:00,1.3280743799999999,2.4293631566666667,2.827828106666667,3.5635259333333336,16.90198153,17.05644183333333,17.095630086666667,17.28447169
2023-05-08 22:45:00+00:00,1.3279433233333333,2.430467226666667,2.8280121266666667,3.563285823333333,16.90115107,17.05557629666667,17.095220039999997,16.822739996666666
2023-05-08 22:50:00+00:00,1.3277653466666668,2.4316869866666666,2.8282094633333332,3.563105913333333,16.899793900000002,17.055238926666668,17.093722893333332,-4.253533642993623e+35
2023-05-08 22:55:00+00:00,1.3275820666666667,2.4327295233333333,2.8283427933333334,3.5629253666666667,16.89908592,17.052978233333334,17.09266092,-1.70141183460469e+36
