t_utc,p_kPa
2023-05-08T05:14:31.000000+0000,812.673
2023-05-08T05:15:31.000000+0000,813.007
2023-05-08T05:16:31.000000+0000,813.340
2023-05-08T05:17:31.000000+0000,813.672
2023-05-08T05:18:31.000000+0000,814.003
2023-05-08T05:19:31.000000+0000,814.333
2023-05-08T05:20:31.000000+0000,814.661
2023-05-08T05:21:31.000000+0000,814.989
2023-05-08T05:22:31.000000+0000,815.315
2023-05-08T05:23:31.000000+0000,815.640
2023-05-08T05:24:31.000000+0000,815.964
2023-05-08T05:25:31.000000+0000,816.286
2023-05-08T05:26:31.000000+0000,816.608
2023-05-08T05:27:31.000000+0000,816.928
2023-05-08T05:28:31.000000+0000,817.246
2023-05-08T05:29:31.000000+0000,817.564
2023-05-08T05:30:31.000000+0000,817.880
2023-05-08T05:31:31.000000+0000,818.195
2023-05-08T05:32:31.000000+0000,818.509
2023-05-08T05:33:31.000000+0000,818.821
2023-05-08T05:34:31.000000+0000,819.132
2023-05-08T05:35:31.000000+0000,819.442
2023-05-08T05:36:31.000000+0000,819.751
2023-05-08T05:37:31.000000+0000,820.058
2023-05-08T05:38:31.000000+0000,820.365
2023-05-08T05:39:31.000000+0000,820.670
2023-05-08T05:40:31.000000+0000,820.973
2023-05-08T05:41:31.000000+0000,821.276
2023-05-08T05:42:31.000000+0000,821.577
2023-05-08T05:43:31.000000+0000,821.877
2023-05-08T05:44:31.000000+0000,822.175
2023-05-08T05:45:31.000000+0000,822.473
2023-05-08T05:46:31.000000+0000,822.769
2023-05-08T05:47:31.000000+0000,823.064
2023-05-08T05:48:31.000000+0000,823.358
2023-05-08T05:49:31.000000+0000,823.651
2023-05-08T05:50:31.000000+0000,823.943
2023-05-08T05:51:31.000000+0000,824.233
2023-05-08T05:52:31.000000+0000,824.522
2023-05-08T05:53:31.000000+0000,824.810
2023-05-08T05:54:31.000000+0000,825.097
2023-05-08T05:55:31.000000+0000,825.383
2023-05-08T05:56:31.000000+0000,825.667
2023-05-08T05:57:31.000000+0000,825.951
2023-05-08T05:58:31.000000+0000,826.233
2023-05-08T05:59:31.000000+0000,826.514
2023-05-08T06:00:31.000000+0000,826.794
2023-05-08T06:01:31.000000+0000,827.073
2023-05-08T06:02:31.000000+0000,827.351
2023-05-08T06:03:31.000000+0000,827.628
2023-05-08T06:04:31.000000+0000,827.903
2023-05-08T06:05:31.000000+0000,828.178
