"              ELEM","                 X","                 Y","                 Z","             SAT_G","             SAT_L","             SAT_S","              PRES","           PCAP_GL","             DEN_G","             DEN_L","             DEN_S","             VIS_G","             VIS_L","             VIS_S"
"                  ","               (M)","               (M)","               (M)","               (-)","               (-)","               (-)","              (PA)","              (PA)","         (KG/M**3)","         (KG/M**3)","         (KG/M**3)","            (PA*S)","            (PA*S)","            (PA*S)"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39965029165E+000,  0.60034970835E+000,  0.00000000000E+000,  0.35063189740E+007,  0.00000000000E+000,  0.84620937664E+002,  0.10092221704E+004,  0.21614096276E+004,  0.15575359795E-004,  0.11368810289E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39961076792E+000,  0.60038923208E+000,  0.00000000000E+000,  0.35063189740E+007,  0.00000000000E+000,  0.84620937664E+002,  0.10092221704E+004,  0.21614096276E+004,  0.15575359795E-004,  0.11368810289E-002,  0.10000000000E+001
"TIME [sec]  0.13090900E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39964937824E+000,  0.60035062176E+000,  0.00000000000E+000,  0.35067709557E+007,  0.00000000000E+000,  0.84636161812E+002,  0.10092231415E+004,  0.21614096667E+004,  0.15575635520E-004,  0.11368807546E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39960703249E+000,  0.60039296751E+000,  0.00000000000E+000,  0.35067709557E+007,  0.00000000000E+000,  0.84636161812E+002,  0.10092231415E+004,  0.21614096667E+004,  0.15575635520E-004,  0.11368807546E-002,  0.10000000000E+001
"TIME [sec]  0.13963600E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39964846507E+000,  0.60035153493E+000,  0.00000000000E+000,  0.35072229208E+007,  0.00000000000E+000,  0.84651385399E+002,  0.10092241123E+004,  0.21614097058E+004,  0.15575911234E-004,  0.11368804804E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39960329808E+000,  0.60039670192E+000,  0.00000000000E+000,  0.35072229208E+007,  0.00000000000E+000,  0.84651385399E+002,  0.10092241123E+004,  0.21614097058E+004,  0.15575911234E-004,  0.11368804804E-002,  0.10000000000E+001
"TIME [sec]  0.14836300E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39964755204E+000,  0.60035244796E+000,  0.00000000000E+000,  0.35076749210E+007,  0.00000000000E+000,  0.84666610169E+002,  0.10092250831E+004,  0.21614097448E+004,  0.15576186970E-004,  0.11368802061E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39959956426E+000,  0.60040043574E+000,  0.00000000000E+000,  0.35076749210E+007,  0.00000000000E+000,  0.84666610169E+002,  0.10092250831E+004,  0.21614097448E+004,  0.15576186970E-004,  0.11368802061E-002,  0.10000000000E+001
"TIME [sec]  0.15709000E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39964663914E+000,  0.60035336086E+000,  0.00000000000E+000,  0.35081269563E+007,  0.00000000000E+000,  0.84681836122E+002,  0.10092260537E+004,  0.21614097839E+004,  0.15576462728E-004,  0.11368799318E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39959583103E+000,  0.60040416897E+000,  0.00000000000E+000,  0.35081269563E+007,  0.00000000000E+000,  0.84681836122E+002,  0.10092260537E+004,  0.21614097839E+004,  0.15576462728E-004,  0.11368799318E-002,  0.10000000000E+001
"TIME [sec]  0.16581800E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39964572628E+000,  0.60035427372E+000,  0.00000000000E+000,  0.35085790785E+007,  0.00000000000E+000,  0.84697065003E+002,  0.10092270243E+004,  0.21614098230E+004,  0.15576738538E-004,  0.11368796574E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39959209797E+000,  0.60040790203E+000,  0.00000000000E+000,  0.35085790785E+007,  0.00000000000E+000,  0.84697065003E+002,  0.10092270243E+004,  0.21614098230E+004,  0.15576738538E-004,  0.11368796574E-002,  0.10000000000E+001
"TIME [sec]  0.17454500E+06"
